number,namefrom_station_code,type,zonefrom_station_code,from_station_code,from_station_name,to_station_code,to_station_name,departure,arrival,duration_h,duration_m,distance,return_train,sleeper,third_ac,second_ac,first_ac,first_class,chair_car,code,namecode,zonecode,state,address,latitude,longitude
04602,UDHAMPUR JAMMUTAWI DMU,DEMU,NR,UHP,UDHAMPUR,JAT,JAMMU TAWI,06:45:00,08:35:00,1.0,50.0,53.0,04601,0,0,0,0,0,0,KHH,KICHHA,NER,Uttar Pradesh,"Kichha, Uttar Pradesh",79.519746,28.913427
11039,Maharashtra Express,Exp,CR,KOP,C SHAHU M RAJ KOLHAPUR TERM,G,GONDIA JN,15:30:00,20:15:00,28.0,45.0,1346.0,11040,1,1,1,0,0,0,BTU,BARAUT,NR,Uttar Pradesh,"Baraut, Uttar Pradesh",77.273006,29.09692
06008,KollamChennai Central SF Special,SF,SR,QLN,KOLLAM JN,MAS,CHENNAI CENTRAL,11:30:00,03:40:00,16.0,10.0,858.0,06007,1,1,1,0,0,0,IJ,ITAUNJA,NER,Uttar Pradesh,"Itaunja, Uttar Pradesh",80.89123400000001,27.081067
06011,Chennai Central Kollam (Weekly) SF Special,SF,SR,MAS,CHENNAI CENTRAL,QLN,KOLLAM JN,15:15:00,05:45:00,14.0,30.0,858.0,06010,1,1,1,0,0,0,PBE,PILIBHIT JN,NER,Uttar Pradesh,"Pilibhit, Uttar Pradesh",79.813946,28.614978
06617,Coimbatore-Nagercoil Special,Exp,SR,CBE,COIMBATORE JN,NCJ,NAGERCOIL JN,20:20:00,06:40:00,10.0,20.0,497.0,06618,1,1,1,0,0,0,MBA,MAHOBA,NCR,Uttar Pradesh,"Junction Point - Khajuraho, Uttar Pradesh",79.849079,25.306914
06622,Yesvantpur-Coimbatore SF Special,SF,SR,YPR,YESVANTPUR JN,CBE,COIMBATORE JN,14:15:00,21:40:00,7.0,25.0,440.0,06621,0,0,0,0,0,1,NOLI,NOLI,NR,Uttar Pradesh,"Ghaziabad, Uttar Pradesh",77.31077099999999,28.746571
06837,Karaikkudi Manamadurai Passenger,Pass,SR,KKDI,Karaikkudi Junction,MNM,MANAMADURAI JN,18:30:00,19:50:00,1.0,20.0,61.0,06838,0,0,0,0,0,0,SUJR,SUJRA,NR,Uttar Pradesh,"State Highway 57, Uttar Pradesh",77.26134099999999,29.012729
04202,New Delhi-Lucknow tri-weekly Special,Exp,NR,NDLS,NEW DELHI,LKO,LUCKNOW,23:55:00,09:45:00,9.0,50.0,493.0,04201,1,1,1,0,0,0,CRC,CHARKHARI ROAD,NCR,Uttar Pradesh,"Charkhari, Uttar Pradesh",79.74565299999999,25.307556
11067,MUMBAI LTT - FAIZABAD Saket Exp,Exp,CR,LTT,LOKMANYA TILAK TERM,FD,FAIZABAD JN,05:20:00,09:25:00,28.0,5.0,1505.0,11068,1,1,1,0,0,0,MQP,Makrandpur,NER,Uttar Pradesh,"Aonla- Bareilly Link Rd, Uttar Pradesh",79.290097,28.213407
11094,VARANASI - MUMBAI CST Mahanagari Exp,Exp,CR,BSB,VARANASI JN,CSTM,MUMBAI CST,11:25:00,14:15:00,26.0,50.0,1533.0,11093,1,1,1,0,0,0,SEPR,SHERPUR,NR,Uttar Pradesh,"State Highway 51, Uttar Pradesh",78.25287,28.919358
11464,Jabalpur-Somnath Express,Exp,CR,JBP,JABALPUR,SMNH,SOMNATH,12:00:00,17:55:00,29.0,55.0,1415.0,11463,1,1,1,0,0,0,CLW,Chilwariya,NER,Uttar Pradesh,"Bahraich, Uttar Pradesh",81.69873199999999,27.487001000000003
12014,Amritsar-NewDelhi Shatabdi,Shtb,NR,ASR,AMRITSAR JN,NDLS,NEW DELHI,05:00:00,11:15:00,6.0,15.0,448.0,12013,0,0,0,1,0,1,BTKD,BHARATKUND,NR,Uttar Pradesh,"Bikapur, Uttar Pradesh",82.12739309999999,26.6360965
12025,Pune-Secunderabad Shatabdi Express,Shtb,CR,PUNE,PUNE JN,SC,SECUNDERABAD JN,05:50:00,14:10:00,8.0,20.0,597.0,12026,0,0,0,0,0,1,CPS,CHANDPUR SIAU HALT,NR,Uttar Pradesh,"Chandpur, Uttar Pradesh",78.27585499999999,29.13201
12126,Pragati Superfast Express,SF,CR,PUNE,PUNE JN,CSTM,MUMBAI CST,07:50:00,11:10:00,3.0,20.0,192.0,12127,0,0,0,0,0,1,DIB,DIBAI,NR,Uttar Pradesh,"Dibai, Uttar Pradesh",78.303084,28.19378
12210,Kathgodam-Kanpur Garib Rath,GR,NCR,KGM,KATHGODAM,CNB,KANPUR CENTRAL,18:30:00,04:30:00,10.0,0.0,459.0,12209,0,1,0,0,0,0,DRN,DEORANIAN,NER,Uttar Pradesh,"SH 37, Uttar Pradesh",79.476473,28.64478
12220,Secunderabad-Mumbai LTT AC Duronto Express,Drnt,SCR,SC,SECUNDERABAD JN,LTT,LOKMANYA TILAK TERM,23:05:00,11:05:00,12.0,0.0,773.0,12219,0,1,1,1,0,0,ETAH,Etah,NCR,Uttar Pradesh,"Etah, Uttar Pradesh",78.65391899999999,27.571173
12245,HOWRAH - YESVANTPUR AC Duronto Exp,Drnt,SER,HWH,HOWRAH JN,YPR,YESVANTPUR JN,11:00:00,16:00:00,29.0,0.0,1946.0,12246,1,1,1,1,0,0,GIR,Gainsari Junction,NER,Uttar Pradesh,"Balrampur, Uttar Pradesh",82.5441789069,27.5268392968
12326,NANGAL DAM - KOLKATA CHITPUR Gurumukhi Exp,SF,ER,NLDM,NANGAL DAM,KOAA,KOLKATA CHITPUR,07:00:00,15:15:00,32.0,15.0,1803.0,12325,1,1,1,0,0,0,FRH,Farhatnagar,NR,Uttar Pradesh,"Farhatnagar, Uttar Pradesh",80.143212,27.081164
12331,Himgiri Express,SF,ER,HWH,HOWRAH JN,JAT,JAMMU TAWI,23:55:00,12:20:00,36.0,25.0,2021.0,12332,1,1,1,0,0,0,GADM,Ganga Dham,NER,Uttar Pradesh,"Ganga Dham, Uttar Pradesh",81.930509,27.20976
12295,BANGALORE - PATLIPUTRA Sanghamitra SF Exp,SF,SWR,SBC,BANGALORE CITY JN,PPTA,PATLIPUTRA,09:00:00,09:20:00,48.0,20.0,2729.0,12296,1,1,1,0,0,0,GLH,Gulaothi,NR,Uttar Pradesh,"Gulaothi, Uttar Pradesh",77.801799,28.582962
12363,KOLKATA CHITPUR - HALDIBARI SF Intercity Exp,SF,ER,KOAA,KOLKATA CHITPUR,HDB,HALDIBARI,09:05:00,20:25:00,11.0,20.0,620.0,12364,0,0,0,0,0,1,GYN,GYANPUR ROAD,NER,Uttar Pradesh,"Bhadohi District, Uttar Pradesh",82.4272883557,25.280144011
12415,Indore-Nizamuddin Express,SF,NR,INDB,INDORE JN BG,NZM,DELHI H NIZAMUDDIN,16:20:00,05:40:00,13.0,20.0,817.0,12416,1,1,1,1,0,0,IDM,Indemau,NR,Uttar Pradesh,"Indemau, Uttar Pradesh",80.767021,26.318344
12429,Bangalore - Hazrat Nizamuddin Rajdhani Express,Raj,NR,SBC,BANGALORE CITY JN,NZM,DELHI H NIZAMUDDIN,20:20:00,05:50:00,33.0,30.0,2365.0,12430,0,1,1,1,0,0,ICL,Ichauli,NCR,Uttar Pradesh,"Maudaha, Uttar Pradesh",80.178833,25.520955
12472,Jammu Tawi - Mumbai Bandra (T.) SF Swaraj Express,SF,NR,JAT,JAMMU TAWI,BDTS,MUMBAI BANDRA TERMINUS,11:15:00,18:05:00,30.0,50.0,1950.0,12471,1,1,1,0,0,0,JI,JHUSI,NER,Uttar Pradesh,"NH 2, Uttar Pradesh",81.91664399999999,25.431145
16359,ERNAKULAM - PATNA Exp,Exp,SR,ERS,ERNAKULAM JN,PNBE,PATNA JN,22:45:00,09:50:00,59.0,5.0,2988.0,16360,1,1,1,0,0,0,JKI,Kauriaa Jungle,?,Uttar Pradesh,"National Highway 29, Uttar Pradesh",83.29979800000001,26.881072
12509,BENGALURU - GUWAHATI (Kaziranga) SF Express,SF,NER,BNC,BANGALORE CANT,GHY,GUWAHATI,23:30:00,05:50:00,54.0,20.0,2992.0,12510,1,1,1,0,0,0,KJC,Kasganj City,NER,Uttar Pradesh,"State Highway 33, Uttar Pradesh",78.658063,27.814972
12518,GUWAHATI - KOLKATA Garib Rath Exp,GR,NER,GHY,GUWAHATI,KOAA,KOLKATA CHITPUR,21:00:00,15:00:00,18.0,0.0,1027.0,12517,0,1,0,0,0,0,KID,KHAIRAR JN,NCR,Uttar Pradesh,"NH-76 Banda(05192-224813), Uttar Pradesh",80.236073,25.451955
12521,Raptisagar Express,SF,ECR,BJU,BARAUNI JN,ERS,ERNAKULAM JN,23:00:00,13:20:00,62.0,20.0,3441.0,12522,1,1,1,1,0,0,KHOH,KHOH,NCR,Uttar Pradesh,"National Highway 76, Uttar Pradesh",80.979976,25.209491000000003
12524,New Delhi New Jalpaiguri SuperFast Express,SF,NFR,NDLS,NEW DELHI,NJP,NEW JALPAIGURI,15:10:00,18:35:00,27.0,25.0,1497.0,12523,1,1,1,0,0,0,KLAR,KULPAHAR,NCR,Uttar Pradesh,"Kulpahar, Uttar Pradesh",79.63751,25.29552
12532,Lucknow Gorakhpur Inter City Express,SF,NER,LJN,LUCKNOW JN,GKP,GORAKHPUR JN,16:35:00,21:30:00,4.0,55.0,279.0,12531,0,0,0,0,0,1,KCT,Kirakat,NER,Uttar Pradesh,"Jaunpur, Uttar Pradesh",82.924798,25.645355
12582,Bhubaneshwar-Pune Express,SF,ECoR,BBS,BHUBANESWAR,PUNE,PUNE JN,22:15:00,05:00:00,30.0,45.0,1689.0,12581,1,1,1,0,0,0,KDPS,KADIPUR SANI HA,NER,Uttar Pradesh,"Kadipur Sani, Uttar Pradesh",80.779037,27.862753
12583,LUCKNOW - DELHI ANAND VIHAR T DOUBLE DECKER,SF,NFR,LJN,LUCKNOW JN,ANVT,ANAND VIHAR TRM,19:40:00,10:15:00,38.0,35.0,2071.0,12584,1,1,1,0,0,0,KITN,KHIRI TOWN,NER,Uttar Pradesh,"Kheri, Uttar Pradesh",80.788481,27.902944
12560,Shiv Ganga Express,SF,NER,NDLS,NEW DELHI,BSB,VARANASI JN,18:45:00,07:30:00,12.0,45.0,758.0,12559,1,1,1,1,0,0,KOZ,KOSMA,NCR,Uttar Pradesh,"Kosma, Uttar Pradesh",78.837282,27.156663
12628,Karnataka Express,SF,SWR,NDLS,NEW DELHI,SBC,BANGALORE CITY JN,21:15:00,13:40:00,40.0,25.0,2406.0,12627,1,1,1,1,0,0,KNH,Konch,NCR,Uttar Pradesh,"Kocha, Uttar Pradesh",79.15770702,25.99510551
12696,Trivandrum-Chennai Superfast Express,SF,SR,TVC,TRIVANDRUM CENTRAL,MAS,CHENNAI CENTRAL,17:10:00,09:50:00,16.0,40.0,922.0,12695,1,1,1,0,1,0,LRD,LAR ROAD,NER,Uttar Pradesh,"Deoria, Uttar Pradesh",83.91018299999999,26.21389
40015,Chennai Beach Tambaram EMU(12 Car),MEMU,SR,MSB,CHENNAI BEACH,TBM,TAMBARAM,07:57:00,08:52:00,0.0,55.0,33.0,,0,0,0,0,0,0,KURO,Korari,NR,Uttar Pradesh,"State Highway 38, Uttar Pradesh",80.529002,26.48788
12686,Mangalore - Chennai Express,SF,SR,MAQ,MANGALORE CNTL,MAS,CHENNAI CENTRAL,16:10:00,08:00:00,15.0,50.0,889.0,12685,1,1,1,1,0,0,KXK,Kharkhauda,NR,Uttar Pradesh,"State Highway 18, Uttar Pradesh",77.73904300000001,28.833445
12691,CHENNAI - SSP NILAYAM SF Exp,SF,SR,MAS,CHENNAI CENTRAL,SSPN,SATYA SAI P NILAYAM,23:30:00,09:20:00,9.0,50.0,529.0,12692,1,1,1,0,0,0,LGO,LalgopalGanj,NR,Uttar Pradesh,"Lal Gopalganj, Uttar Pradesh",81.630185,25.642195
12720,HYDERABAD DECCAN - AJMER SF Exp,SF,SCR,HYB,HYDERABAD DECCAN,AII,AJMER JN,20:30:00,03:05:00,30.0,35.0,1711.0,12719,1,1,1,0,0,0,LLJ,LalGanj,NR,Uttar Pradesh,"Lalganj, Uttar Pradesh",80.973175,26.172392
12718,Ratnachal SF Express,SF,SCR,BZA,VIJAYAWADA JN,VSKP,VISHAKAPATNAM,06:05:00,12:05:00,6.0,0.0,351.0,12717,0,0,0,0,0,1,MALA,MALA,NER,Uttar Pradesh,"Pilibhit, Uttar Pradesh",79.916972,28.592851
12729,Pune-Nanded Express,SF,SCR,PUNE,PUNE JN,NED,HUZUR SAHIB NANDED,22:00:00,10:00:00,12.0,0.0,662.0,12730,1,1,1,0,0,0,MJHL,MAJADA HALT,NR,Uttar Pradesh,"Majada Halt, Uttar Pradesh",78.74320900000001,28.461762
12789,Rameswaram Kanyakumari SF Express,SF,SR,RMM,RAMESWARAM,CAPE,KANYAKUMARI,20:45:00,04:05:00,7.0,20.0,407.0,12790,1,1,0,0,0,0,MHO,MAHPUR,NER,Uttar Pradesh,"Mahpur Bhimapar Marg, Uttar Pradesh",83.246984,25.605166
12882,Puri Howrah Garib Rath,GR,SER,PURI,PURI,HWH,HOWRAH JN,22:15:00,07:05:00,8.0,50.0,502.0,12881,0,1,0,0,0,0,MIN,Mihinpurwa,NER,Uttar Pradesh,"Mihinpurwa, Uttar Pradesh",81.38446715209999,28.0273441203
12920,Malwa Express,SF,WR,JAT,JAMMU TAWI,INDB,INDORE JN BG,09:00:00,12:50:00,27.0,50.0,1540.0,12919,1,1,1,0,0,0,MTH,MATAUNDH,NCR,Uttar Pradesh,"National Highway 76, Uttar Pradesh",80.148507,25.418978
12907,Maharashtra Sampark Kranti Express,SKr,WR,BDTS,MUMBAI BANDRA TERMINUS,NZM,DELHI H NIZAMUDDIN,16:50:00,13:45:00,20.0,55.0,1366.0,12908,1,1,1,0,0,0,MWF,MAGARDAHA,ECR,Uttar Pradesh,"Obra, Uttar Pradesh",82.905844,24.388753
12959,MUMBAI DADAR - BHUJ SF Exp,SF,WR,DDR,MUMBAI DADAR WEST,BHUJ,BHUJ,23:55:00,17:40:00,17.0,45.0,977.0,12960,1,1,1,0,0,0,MSTH,Misrikh Tirath,NR,Uttar Pradesh,"Sitapur, Uttar Pradesh",80.530303,27.422484
12965,Gwalior Udaipur Express,SF,NWR,GWL,GWALIOR JN,UDZ,UDAIPUR CITY,15:50:00,06:10:00,14.0,20.0,794.0,12966,1,1,1,1,0,0,MGWN,MAHGAWAN HALT,NR,Uttar Pradesh,"Nawab Yousuf Rd, Uttar Pradesh",82.69625099999999,25.817256
12966,Udaipur Gwalior Express,SF,NWR,UDZ,UDAIPUR CITY,GWL,GWALIOR JN,22:20:00,12:45:00,14.0,25.0,794.0,12965,1,1,1,1,0,0,DDD,DHONDHA DIH,NER,Uttar Pradesh,"MDR 94E, Uttar Pradesh",83.79552,25.672848
12984,Chandigarh-Ajmer GaribRath,GR,NWR,CDG,CHANDIGARH,AII,AJMER JN,21:05:00,09:55:00,12.0,50.0,740.0,12983,0,1,0,0,0,0,NRY,Nyoriya Husenpur,NER,Uttar Pradesh,"Neoria Husainpur, Uttar Pradesh",79.88966099999999,28.734528
12954,August Kranti Rajdhani Express,Raj,WR,NZM,DELHI H NIZAMUDDIN,BCT,Mumbai Central,16:55:00,10:35:00,17.0,40.0,1377.0,12953,0,1,1,1,0,0,ACH,Achalganj,NR,Uttar Pradesh,"Bithar, Uttar Pradesh",80.54541499999999,26.444642
13009,Doon Express,Exp,ER,HWH,HOWRAH JN,DDN,DEHRADUN,20:35:00,07:10:00,34.0,35.0,1557.0,13010,1,1,1,0,0,0,NNX,NANAUTA,NR,Uttar Pradesh,"MDR 2W, Uttar Pradesh",77.442397,29.712202
